Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-049669,2015-10,8/8/2015 9:19,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1020,LOUGHBOROUGH AVE,1,US BANK BRANCH,@SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,888369.9,991903
15-049518,2015-10,8/10/2015 8:00, , , ,-1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2824,KEOKUK ST,16, , ,2824,KEOKUK,896560.3,1001877
15-051069,2015-10,8/10/2015 8:30,Y, , ,1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,ARLINGTON AVE / PAGE BLVD,48, , , , ,884665.8,1030060
15-040526,2015-10,8/12/2015 1:45, , , ,-1, ,31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5302,SAINT LOUIS,52, , ,5060,HIGHLAND,0,0
15-053364,2015-10,8/12/2015 13:59,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3641,UTAH PL,15, , ,3641,UTAH,893480.1,1006554
15-040652,2015-10,8/12/2015 16:09,Y, , ,1, ,31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1520,MARKET ST,36, , ,1520,MARKET,904957.9,1017645
15-040819,2015-10,8/12/2015 20:30,Y, , ,1, ,71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,5165,S GRAND BLVD,13, , , , ,891276.1,997181.8
15-040826,2015-10,8/13/2015 12:58,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,N 11TH ST / SALISBURY ST,65, , , , ,906468.6,1029947
15-040914,2015-10,8/13/2015 18:15,Y, , ,1, ,65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",611,S 7TH ST,35, , ,611,7TH,907106.3,1015221
15-051329,2015-10,8/14/2015 12:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4052,NEBRASKA AVE,16, , ,4052,NEBRASKA,896101.9,1000806
15-041020,2015-10,8/14/2015 12:44,Y, , ,1, ,266400,5,PUBLIC ORDER-ANIMAL VIOLATION,4858,COTE BRILLIANTE AVE,55, , ,4858,COTE BRILLIANTE,889584.2,1030305
15-041053,2015-10,8/14/2015 14:42,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 16TH ST / DR MARTIN LUTHER K,36, , , , ,905621.9,1020327
